file,question,answer,answer_start,answer_end
1345177.txt,Warrant (ไทย) ต้องมีผู้ดูแลสภาพคล่องหรือไม่,ไม่ต้องมี,1891,1899
1345156.txt,กลยุทธ์ที่เลือกกองทุนแบบ Passive เป็นส่วนใหญ่ และ ส่วนที่เหลือจะเลือกกองทุนแบบ Active คือกลยุทธ์อะไร,กลยุทธ์ที่ลงทุนในกองทุนหลักและบริวาร (Core & Satellite),1040,1094
1345150.txt,ขั้นตอนการคำนวณการประเมินมูลค่าด้วยวิธีคิดลดเงินปันผล มีกี่ขั้นตอน,3 ขั้นตอน,2242,2250
1345173.txt,ตราสารหนี้แบ่งตามผู้ออกตราสาร มีอะไรบ้าง,"ตราสารหนี้ภาครัฐ
		ตราสารหนี้ภาคเอกชน",276,312
1345136.txt,เวลาการซื้อขายในตลาด TBX คือช่วงเวลาใดบ้าง,ช่วงเช้า 10.00 ถึง 12.30  ช่วงบ่าย 14.30 ถึง 16.30,1284,1333
1345177.txt,Warrant (ไทย) มีภาษีเมื่อมีการส่งมอบหรือไม่,ไม่มีภาษี,2028,2036
1345195.txt,Small-cap Stock คืออะไร,"หุ้นที่มีมูลค่าตลาด 300 – 2,000 ล้านดอลลาร์",3833,3875
1345200.txt,ราคาของกองทุน คืออะไร,NAV per unit (มูลค่าสินทรัพย์สุทธิต่อหน่วย),390,432
1345142.txt,การประเมินมูลค่าตราสารหนี้ที่ไม่จ่ายดอกเบี้ย ทำอย่างไร,คิดลดเฉพาะส่วนของมูลค่าหน้าตั๋ว (Face Value / Par Value) โดยสูตรการประเมินมูลค่า Zero Coupon Bond,830,926
1345195.txt,Speculative Stock หุ้นเก็งกำไร มีลักษณะอย่างไร,"*	เป็นหุ้นของบริษัทใหม่หรือบริษัทขนาดเล็ก
				*	งบการเงินในอดีตมักขาดทุน
				*	บริษัทมีแผนธุรกิจหรือมีข่าวที่ทำให้ผู้ลงทุนเชื่อว่าธุรกิจจะเติบโตได้ในอนาคต",2830,2983
1345195.txt,Income Stock / Dividend Stock หุ้นปันผล มีลักษณะอย่างไร,"*	หุ้นที่จ่ายปันผลได้สูงและสม่ำเสมอ มักถูกเรียกว่า ”หุ้นปันผล”
				*	จ่ายได้สม่ำเสมอเนื่องจากบริษัทมีกำไรที่มีเสถียรภาพ
				*	อัตราผลตอบแทนจากปันผลสูง (Dividend Yield) เนื่องจากนำกำไรส่วนใหญ่ที่ได้มาจ่ายปันผล",2164,2371
1345136.txt,ใครเป็นผู้ออกตราสารหนี้ภาคเอกชน มีใบตราสาร,นายทะเบียนของตราสารหนี้รุ่นนั้น,7867,7897
1345154.txt,การลงทุนแบบเน้นคุณค่า (Value Investing) มีวิธีการอย่างไร,"*	ลงทุนในหุ้นที่มีราคาต่ำกว่ามูลค่าที่แท้จริง (Intrinsic Value)
	*	หุ้นที่ลงทุนมักมี PE, PB, ต่ำกว่าค่าเฉลี่ยของอุตสาหกรรม หรือ ต่ำกว่าค่าเฉลี่ยของกิจการที่ทำธุรกิจคล้ายคลึงกัน ขณะที่อัตราผลตอบแทนจากเงินปันผล (Dividend Yield) (อัตราผลตอบแทนจากเงินปันผล ≠ อัตราการจ่ายเงินปันผล) สูง",103,383
1345169.txt,สาเหตุของการระดมทุนด้วยตราสารหนี้ของภาคเอกชน คืออะไร,"*	กู้เงินมาเพื่อทำโครงการต่างๆ
	*	ต้นทุนต่ำกว่าการกู้จากธนาคาร และการออกหุ้นสามัญ (ต้นทุนของตราสารทุนสูงกว่าตราสารหนี้ เนื่องจากบริษัทผู้ออกตราสารทุนต้องแบ่งความเป็นเจ้าของ (ให้หุ้น) รวมถึงจ่ายเงินปันผลให้ผู้ลงทุน และเนื่องจากตราสารทุนมีความเสี่ยงสูงกว่าตราสารหนี้ ผู้ลงทุนจึงต้องการผลตอบแทนจากตราสารทุนสูงกว่าตราสารหนี้)
	*	ลดภาษี เนื่องจากดอกเบี้ยตราสารหนี้ถือเป็นค่าใช้จ่ายของบริษัท ส่งผลให้กำไรและภาษีลดลง",748,1156
1345138.txt,คณะกรรมการกำหนดนโยบายการเงิน (กนง.) มีกี่คน ใครบ้าง,7 คน เป็นผู้บริหารของ ธปท. 3 คน และบุคคลภายนอก 4 คน,5272,5322
1345173.txt,ตราสารหนี้แบ่งตามลักษณะการถือ มีอะไรบ้าง,"ตราสารหนี้แบบมีใบตราสาร (Scrip)
		ตราสารหนี้แบบไม่มีใบตราสาร (Scripless)",337,408
1345140.txt,สำนักงานบริหารหนี้สาธารณะ ให้ข้อมูลอะไรบ้าง,"*	ให้ข้อมูลเกี่ยวกับแผนการบริหารหนี้
	*	การประมูลตราสารหนี้รัฐวิสาหกิจ
	*	ผลการประมูลตราสารหนี้ภาครัฐ และรัฐวิสาหกิจ",1714,1829
1345187.txt,หลักเกณฑ์ในการเปิดบัญชีซื้อขายหลักทรัพย์ ทำอย่างไร,บริษัทหลักทรัพย์มีหน้าที่กำหนดขั้นตอน พิจารณาคำขอเปิดบัญชี รวมถึงทำสัญญาเป็นลายลักษณ์อักษรกับลูกค้า รวมถึงต้องมีกระบวนการตรวจสอบว่าลูกค้าจริงเป็นบุคคลเดียวกับข้อมูลในเอกสาร,107,278
1345188.txt,ใช้เจ้าหน้าที่วิเคราะห์ข้อมูลการซื้อขายอย่างไร,"*	แหล่งที่มาของข้อมูล มาจากข้อร้องเรียนของผู้ลงทุน, มาจากการวิเคราะห์ลักษณะการซื้อขายของเจ้าหน้าที่วิเคราะห์
			*	การตรวจสอบพฤติกรรม เมื่อพบข้อสงสัย เจ้าหน้าที่จะตรวจสอบลักษณะการซื้อขาย เช่น  คำสั่งซื้อขายมาจาก บล. ใด, ใครเป็นผู้ส่งคำสั่งซื้อขาย, มีข้อมูลใดที่เป็นประโยชน์กับผู้ส่งคำสั่งหรือไม่ (เช่น ใช้ประโยชน์จากข้อมูลภายในหรือไม่)",2170,2503
1345179.txt,NVRD อ้างอิงกับหลักทรัพย์ประเภทใดได้บ้าง,"1)	หุ้นสามัญ
		2)	หุ้นบุริมสิทธิ
		3)	ตราสารหนี้ (พันธบัตร, หุ้นกู้)
		4)	Warrant
		5)	TSR",892,981
1345201.txt,ความเสี่ยงจากอัตราแลกเปลี่ยน (Exchange rate risk / Currency risk) คืออะไร,เกิดขึ้นเมื่อกองทุนนำเงินไปลงทุนในสินทรัพย์ด้วยสกุลเงินต่างประเทศ (การลงทุนในหลักทรัพย์ต่างประเทศในด้วยสกุลเงินในประเทศ จะไม่มีความเสี่ยงด้านอัตราแลกเปลี่ยน),1992,2148
1345144.txt,การคำนวณ YTC และ YTM แต่มีจุดต่างกัน กี่จุด,2 จุด,2386,2390
1345177.txt,Warrant ความหมายโดยสากลคืออะไร,Option (ออปชั่น) ประเภทหนึ่ง ที่มีลักษณะเป็นสัญญาที่ให้สิทธิในการซื้อหรือขายสินทรัพย์อ้างอิง (Underlying Asset) ในระยะเวลาที่กำหนด เช่นเดียวกับ DW โดย Warrant ส่วนใหญ่จะอ้างอิงกับหุ้นสามัญ,146,333
1345183.txt,เวลาในการซื้อขายหลักทรัพย์ มีรายละเอียดอย่างไร,"9.30 – 10.00 น.	Pre-opening I (ก่อนเปิดตลาดเช้า) ระบบคำนวณราคาเปิดของหลักทรัพย์ช่วงเช้า จากคำสั่งซื้อขายของนักลงทุน โดยตลาดจะสุ่มเวลาในการเปิดตลาด (Random) ในช่วง 9.55 – 10.00 น.
	10.00 – 12.30 น.	Trading Session I (ซื้อ-ขาย ช่วงเช้า) ตลาดเปิดซื้อขายช่วงเช้า
	12.30 – 14.00 น.	พักการซื้อขาย คือ พักการซื้อขายระหว่างวัน
	14.00 – 14.30 น.	Pre-opening II (ก่อนเปิดตลาดบ่าย) ระบบคำนวณราคาเปิดของหลักทรัพย์ช่วงบ่าย จากคำสั่งซื้อขายของนักลงทุน โดยตลาดจะสุ่มเวลาในการเปิดตลาด (Random) ในช่วง 14.25 – 14.30 น.
	14.30 – 16.30 น.	Trading Session II ซื้อ-ขาย ช่วงบ่าย ตลาดเปิดซื้อขายช่วงบ่าย
	16.30 – 16.40 น.	Pre-close (ก่อนปิดตลาดบ่าย) ระบบคำนวณราคาเปิดของหลักทรัพย์ช่วงบ่าย จากคำสั่งซื้อขายของนักลงทุน โดยตลาดจะสุ่มเวลาในการปิดตลาด (Random) ในช่วง 16.35 – 16.40 น.
	16.40 – 17.00 น.	Off-hour trading (ช่วงซื้อขายนอกเวลา) ปิดรับคำสั่งซื้อขายทั่วไป แต่เปิดให้สามารถซื้อขายนอกเวลาด้วยวิธี Trade report เท่านั้น",120,1018
1345179.txt,ผลตอบแทนและความเสี่ยงของ NVDR คืออะไร,มีผลตอบแทนและความเสี่ยงเหมือนหลักทรัพย์อ้างอิง,1405,1450
1345171.txt,วันครบกำหนดไถ่ถอน (Maturity Date) คืออะไร,วันที่ครบกำหนดของตราสารหนี้,614,640
1345179.txt,สิทธิประโยชน์ทางภาษีของผู้ถือ NVDR ที่ผู้ลงทุนเป็นนิติบุคลที่จัดตั้งขึ้นตามกฎหมายต่างประเทศ คืออะไร,"-	ที่ประกอบกิจการในไทย รวมเป็นเงินได้ของกิจการ เงินได้จากปันผล รวมเป็นเงินได้ของกิจการ
			-	ที่ประกอบกิจการในต่างประเทศ เสียภาษี 15% เงินได้จากปันผล หัก ณ ที่จ่าย 10%",2154,2319
1345154.txt,การจับคู่หุ้น (Pairs Trading) มีวิธีการอย่างไร,"*	เป็นการซื้อและขายล่วงหน้า (Short Selling) หุ้น 2 บริษัท ที่โดยปกติแล้วจะมีค่าสัมประสิทธิ์สหสัมพันธ์ (Correlation Coefficient : Corr) สูง (ค่าสัมประสิทธิ์สหสัมพันธ์ สูง หมายถึง ลักษณะของผลตอบแทนของหุ้นทั้ง 2 บริษัท มีการเคลื่อนที่ไปในทิศทางเดียวกันอย่างมาก)
	*	กลยุทธ์จับคู่หุ้น จะใช้เมื่อทิศทางของหุ้นทั้ง 2 บริษัท มีความผิดปกติ เช่น หุ้นหนึ่งขึ้นแต่อีกตัวกลับลง ผู้ใช้กลยุทธ์นี้จะขายล่วงหน้าหุ้นที่ขึ้นและซื้อหุ้นที่ลง เนื่องจากเชื่อว่าทิศทางของผลตอบแทนจะกลับเข้าหากันในระยะยาว",1769,2248
1345154.txt,การหยุดความเสียหาย (Stop Loss) มีวิธีการอย่างไร,*	เป็นการลงทุนที่มีการตั้งจุดตัดขาดทุน เพื่อไม่ให้เกิดความเสียหายมากกว่าที่กำหนด เช่น การตั้งจุดขาดทุนที่ -5% หรือ -10%,1612,1730
1345160.txt,แบ่งประเภทกองทุนรวมตามนโยบายการจ่ายผลตอบแทน มีอะไรบ้าง,"1)	กองทุนที่จ่ายปันผล
		2)	กองทุนที่ไม่จ่ายปันผล
		3)	กองทุนที่ขายคืนอัตโนมัติ (Auto Redemption)",451,546
1345185.txt,ST คืออะไร,บริษัทจดทะเบียนมีการซื้อหลักทรัพย์เพื่อส่งมอบหลักทรัพย์ที่จัดสรรเกิน,1952,2019
1345160.txt,แบ่งประเภทกองทุนรวมตามนโยบายการลงทุน มีอะไรบ้าง,"1)	กองทุนรวมตราสารหนี้ (Fixed income Fund)
		2)	กองทุนรวมตราสารทุน (Equity Fund)
		3)	กองทุนรวมสินทรัพย์ทางเลือก (Alternative Investment Fund)
		4)	กองทุนรวมผสม (Mixed Fund)",576,748
1345177.txt,รูปแบบการใช้สิทธิของ DW คืออะไร,European,1199,1206
1345171.txt,LB คืออะไร,Loan Bond พันธบัตรรัฐบาล,1324,1347
1345195.txt,ประเภทของหุ้นบุริมสิทธิ มีอะไรบ้าง,"1)	หุ้นบุริมสิทธิชนิดสะสม กรณีที่บางปีบริษัทไม่สามารถจ่ายเงินปันผลได้ เงินปันผลที่จ่ายไม่ได้นี้จะถูกสะสมไว้ และไปจ่ายพร้อมกับงวดหน้า เช่น หุ้นบุริมสิทธิ ราคา 1,000 บาท อัตราการปันผล 10% ต่อปี และไม่ได้จ่ายปันผลมา 3 ปี ดังนั้นในปีที่ 4 ต้องจ่ายปันผลเป็นจำนวน (1,000 x 10%) x 4 = 400 บาท (เป็นปันผลที่ถูกสะสมมา 300 บาท และงวดปัจจุบัน 100 บาท)
		2)	หุ้นบุริมสิทธิชนิดไม่สะสม ไม่มีการสะสมเงินปันผลงวดที่จ่ายไม่ได้
		3)	หุ้นบุริมสิทธิชนิดร่วมรับ ผู้ลงทุนจะได้ปันผลจากหุ้นบุริมสิทธิบวกกับปันผลส่วนเพิ่มโดยมีเงื่อนไข เช่น ได้เงินปันผลส่วนเพิ่มในกรณีที่ปันผลของหุ้นสามัญสูงกว่าปันผลของหุ้นบุริมสิทธิ
		4)	หุ้นบุริมสิทธิชนิดสามารถไถ่ถอนคืนได้ ผู้ออกหุ้นบุริมสิทธิมีสิทธิในการซื้อหุ้นบุริมสิทธิคืนในราคาที่ผู้ออกกำหนดไว้ในวันที่ออกหุ้นบุริมสิทธิได้ ซึ่งจะเห็นได้ว่าผู้ลงทุนจะเสียเปรียบ เนื่องจากหากราคาหุ้นบุริมสิทธิสูงขึ้นกว่าราคาที่กำหนดไว้ผู้ออกอาจใช้สิทธิซื้อหุ้นบุริมสิทธิคืน
		5)	หุ้นบุริมสิทธิชนิดมีกองทุนเพื่อไถ่ถอน ผู้ออกหุ้นบุริมสิทธิต้องทยอยเก็บสะสมเงินเพื่อนำมาซื้อหุ้นบุริมสิทธิคืนจากผู้ลงทุน
		6)	หุ้นบุริมสิทธิชนิดแปลงสภาพได้ เป็นหุ้นบุริมสิทธิที่ให้สิทธิกับผู้ลงทุน ในการแปลงหุ้นบุริมสิทธิเป็นหุ้นสามัญได้
		7)	หุ้นบุริมสิทธิชนิดไม่จ่ายเงินปันผล หุ้นบุริมสิทธิชนิดนี้จะมีกำหนดอายุที่แน่นอน (โดยทั่วไปมีอายุระหว่าง 5-7 ปี) และเนื่องจากไม่มีการจ่ายปันผล ผู้ลงทุนจะได้กำไรจากราคาที่ค่อยๆ เพิ่มขึ้นตามระยะเวลา",4763,6073
1345187.txt,กระบวนการตรวจสอบการเปิดบัญชีหลักทรัพย์มีวิธีใดบ้าง,"1)	ให้ลูกค้าลงนามในใบคำขอเปิดบัญชี
		2)	ตรวจสอบกลับไปยังลูกค้า (เช่น โทรกลับ) เพื่อตรวจสอบความมีตัวตนของลูกค้า
		3)	แต่งตั้งบุคคลที่เชื่อถือได้มาตรวจสอบทั้งเอกสารและความมีตัวตนของลูกค้า
		4)	ลูกค้ายื่นเอกสารยืนยันตัวตน และ บล. ตรวจสอบเอกสาร
		5)	วิธีการอื่นๆ ที่ บล. สามารถแสดงให้เห็นว่าเพียงพอในการตรวจสอบว่าลูกค้าจริงเป็นบุคคลเดียวกับข้อมูลในเอกสาร",347,696
1345195.txt,Cyclical Stock หุ้นวัฏจักร มีลักษณะอย่างไร,"*	ราคาหุ้นมักขึ้นลงตามภาวะเศรษฐกิจ
				*	เป็นหุ้นบริษัทที่ราคาสินค้ามักมีมูลค่าสูงหรือราคาสินค้าขึ้นลงตามภาวะเศรษฐกิจ เช่น รถยนต์, อสังหาฯ, วัสดุก่อสร้าง",2634,2786
1345195.txt,หุ้นบุริมสิทธิ (Preferred Stock) คืออะไร,ตราสารทุนที่มีลักษณะผสมของหุ้นสามัญและตราสารหนี้ มักถูกเรียกว่าเป็นตราสารกึ่งหนี้กึ่งทุน (Hybrid Securities) เนื่องจากผู้ถือหุ้นบุริมสิทธิมีฐานะเป็นเจ้าของกิจการเหมือนหุ้นสามัญ แต่ผู้ลงทุนได้ปันผลในอัตราคงที่คล้ายกับดอกเบี้ยจากตราสารหนี้,4039,4275
1345173.txt,หุ้นกู้ต่างประเทศ (Foreign Bond) คืออะไร,หุ้นกู้ที่ใช้สกุลเงินเดียวกันกับประเทศที่ไปจำหน่าย,8593,8642
1345160.txt,เงื่อนไขในการลงทุนของ RMF คืออะไร,"ต้องลงทุนไม่น้อยกว่า 5 ปี (นับปีเฉพาะปีที่มีการลงทุน)และถือครองจนถึงอายุ 55 ปีบริบูรณ์
			ต้องลงทุนทุกปี (สามารถเว้นได้ไม่เกิน 1 ปี ติดต่อกัน หรือลงทุนปีเว้นปีได้)
			เว้นการลงทุนเกิน 1 ปี ได้ หากปีนั้นๆ ไม่มีรายได้จากการประกอบวิชาชีพ
			ในแต่ละปีต้องลงทุนขั้นต่ำ 3% ของรายได้ หรือ 5,000 บาทแล้วแต่จำนวนใดจะต่ำกว่า
			ไม่สามารถนำหน่วยลงทุนไปโอน จำนำ หรือค้ำประกัน",16495,16857
1345177.txt,การส่งมอบ Warrant (ไทย) คือวิธีใด,Physical,1512,1519
1345195.txt,Small-cap Stock (หุ้นเล็ก) คืออะไร,หุ้นทั้งหมดที่ไม่อยู่ใน ดัชนีSET 100,3553,3588
1345150.txt,การประเมินมูลค่า มีขั้นตอนอะไรบ้าง,1. คาดการณ์กระแสเงินสดแต่ละปี (รวมถึงคาดการณ์ราคาขายกรณีกำหนดระยะเวลาถือครองหุ้น) 2. คิดลด (Discount) เงินกระแสเงินสดและราคาขายที่ได้รับในอนาคตกลับมาเป็นมูลค่าปัจจุบัน 3. นำมูลค่าปัจจุบันทั้งหมดมารวมกัน,1667,1868
1345160.txt,Free hold คืออะไร,การที่กองทุนซื้ออสังหาฯ แล้วนำมาปล่อยเช่า หากกองทุนกำหนดอายุโครงการ เมื่อหมดอายุกองทุนต้องขายอสังหาฯ และนำเงินมาคืนให้ผู้ลงทุน,8223,8348
1345146.txt,หากปริมาณการออกตราสารหนี้ในตลาดแรกมีสูง หมายความว่าอย่างไร,ความต้องการกู้เงินที่สูงของผู้ออกตราสาร ดังนั้นผู้ออกจึงยอมที่จะกู้ในอัตราดอกเบี้ยที่สูงขึ้น,1115,1206
1345160.txt,แบ่งประเภทกองทุนรวมตามความเสี่ยงต่างประเทศ มีอะไรบ้าง,"1)	กองทุนที่ไม่มีความเสี่ยงต่างประเทศ
		2)	กองทุนที่มีความเสี่ยงต่างประเทศ
		3)	กองทุนที่มีความเสี่ยงทั้งในและต่างประเทศ",295,414
1345156.txt,การเข้าซื้อ ด้วยจำนวนเงินเท่าๆ กัน ในช่วงเวลาที่กำหนด คือกลยุทธ์อะไร,Dollar-cost Averaging: DCA (การลงทุนสม่ำเสมอ),3445,3489
1345185.txt,NC คืออะไร,บริษัทจดทะเบียนเข้าข่ายถูกเพิกถอน,1765,1797
1345195.txt,Nano-Cap Stock คืออะไร,หุ้นที่มีมูลค่าตลาด <50 ล้านดอลลาร์,3961,3995
1345188.txt,ความสามารถของการใช้ระบบใช้ระบบคอมพิวเตอร์ (WATCHs) คืออะไร,"1.	แสดงภาพรวม เช่น การเคลื่อนไหวของราคาและปริมาณการซื้อขายของแต่ละหลักทรัพย์ และของดัชนี (Index) ในแบบ Real time 
			2.	การแจ้งเตือน เมื่อพบการเคลื่อนไหวของราคาหรือปริมาณการซื้อขายที่ผิดปกติ ของหลักทรัพย์
			3.	การค้นหา การค้นหาลักษณะการซื้อขายทั้งจากข้อมูลในอดีต และข้อมูล Real time",1838,2120
1345195.txt,Micro-cap Stock คืออะไร,หุ้นที่มีมูลค่าตลาด 50 – 300 ล้านดอลลาร์,3899,3938
1345160.txt,ความเสี่ยงเมื่อลงทุนต่างประเทศ คืออะไร,ความเสี่ยงของประเทศที่ลงทุน (Country Risk) และความเสี่ยงด้านอัตราแลกเปลี่ยน (Currency Risk),3388,3478
1345197.txt,ความเสี่ยงที่จะกระทบต่อผลการดำเนินงาน มีอะไรบ้าง,"1.	ความเสี่ยงทางธุรกิจ (Business Risk) คือ ความเสี่ยงจากการดำเนินธุรกิจ เช่น การแข่งขันของอุตสาหกรรม, นโยบายการทำธุรกิจของบริษัท, ความเสี่ยงในการทำโครงการต่างๆ
	2.	ความเสี่ยงทางการเงิน (Financial Risk) คือ ความเสี่ยงจากโครงสร้างการเงินของบริษัท (โครงสร้างทางการเงินของบริษัท หมายถึงแหล่งที่มาของเงินทุนในการทำธุรกิจ ซึ่งโดยทั่วไปจะมาจาก 2 แหล่งคือ 1. เงินทุนเจ้าของและกำไรสะสม 2. การกู้ยืม) กล่าวคือ การที่บริษัทมีหนี้สินมากก็จะมีความเสี่ยงทางการเงินมาก
	3.	ความเสี่ยงจากปัจจัยมหภาค (Macro Factor) คือ ความเสี่ยงที่เกิดจากปัจจัยภายนอกของธุรกิจ เช่น ความมั่นคงทางการเมืองและนโยบายทางการเมือง, อัตราเงินเฟ้อ, อัตราดอกเบี้ย",272,891
1345183.txt,14.00 – 14.30 น. มีรายละเอียดอย่างไร,Pre-opening II (ก่อนเปิดตลาดบ่าย) ระบบคำนวณราคาเปิดของหลักทรัพย์ช่วงบ่าย จากคำสั่งซื้อขายของนักลงทุน โดยตลาดจะสุ่มเวลาในการเปิดตลาด (Random) ในช่วง 14.25 – 14.30 น.,457,620
1345200.txt,สูตรการคำนวณ เงินปันผล คืออะไร,เงินปันผล = เงินปันผล / ราคาต้นงวด,256,289
1345160.txt,กองทุนรวมตราสารหนี้ระยะสั้น (Short-Term Fixed-Income Fund) คืออะไร,ลงทุนในตราสารหนี้ที่มี Portfolio Duration (Portfolio Duration มีหน่วยเป็นปี และแสดงถึงความเสี่ยงด้านความผันผวนของราคา) ≤1 ปี กองทุนมักให้ผลตอบแทนต่ำ แต่ก็มีความเสี่ยงต่ำเช่นกัน,5468,5643
1345173.txt,หุ้นกู้ยูโร (Euro Bond) คืออะไร,หุ้นกู้ที่ใช้คนละสกุลเงินกับประเทศที่ไปจำหน่าย,8972,9017
1345140.txt,TRIS Rating ให้ข้อมูลใดบ้าง,ให้ข้อมูลและบทวิเคราะห์ความน่าเชื่อถือของตราสารหนี้และผู้ออกตราสารหนี้ รวมถึงข้อมูลต่างๆ ที่อาจมีผลกระทบต่อความสามารถในการชำระหนี้,2314,2443
1345156.txt,กลยุทธ์ที่เลือกกองทุนแบบ Passive ทั้งหมด เพื่อสร้างผลตอบแทนใกล้เคียงกับดัชนีที่สุด คือกลยุทธ์อะไร,กลยุทธ์ที่ลงทุนในกองทุนหลัก (Core Fund),829,867
1345177.txt,ประเภทของสิทธิของ DW คืออะไร,Call และ Put,1139,1150
1345200.txt,ราคาปลายงวด คืออะไร,ราคาขาย,464,470
1345179.txt,NVDR ที่อ้างอิงกับหุ้นสามัญ ต้องมีการรายงานการถือครองอะไรบ้าง,"1.	ต้องรายงานเมื่อได้มาหรือขายไปจนทำให้สัดส่วนการถือครอง NVDR รวมกับหุ้นแตะระดับ 5%
	2.	เมื่อการถือครอง ≥25% บริษัทไทยวีดอาร์ จำกัด มีสิทธิบังคับซื้อคืนสำหรับสัดส่วนที่เกิน 25%",2451,2626
1345193.txt,ที่มาของเงินทุนในการทำธุรกิจมาจากแหล่งใดบ้าง,1. การกู้ยืม 2. การระดมทุนจากผู้ถือหุ้น (เจ้าของกิจการ) 3. กำไรสะสมของกิจการ,1710,1785
1345160.txt,กองทุนรวมสินทรัพย์ทางเลือก (Alternative Investment Fund) คืออะไร,กองทุนที่เน้นลงทุนสินทรัพย์ทางเลือก (สินทรัพย์อื่นๆ ที่ไม่ใช่ ตราสารทุน และตราสารหนี้),6283,6368
1345197.txt,ความเสี่ยงทางธุรกิจ (Business Risk) คืออะไร,"ความเสี่ยงจากการดำเนินธุรกิจ เช่น การแข่งขันของอุตสาหกรรม, นโยบายการทำธุรกิจของบริษัท, ความเสี่ยงในการทำโครงการต่างๆ",315,430
1345185.txt,NR คืออะไร,บริษัทที่ขึ้น NP ส่งงบการเงินหรือรายงานแล้ว,1699,1741
1345177.txt,ใครคือผู้ออกตราสาร Warrant (ไทย),บริษัทของหลักทรัพย์อ้างอิง (เช่น ผู้ออก Warrant ที่ให้สิทธิซื้อหุ้น AAA ต้องเป็นบริษัท AAA เท่านั้น),1345,1444
1345188.txt,ข้อบังคับของตลาดหลักทรัพย์ที่กำหนดว่าลักษณะของคำสั่งซื้อขายที่ไม่เหมาะสมมีอะไรบ้าง,"*	การซื้อขายที่ทำให้ราคาปิดเปลี่ยนแปลงผิดปกติ
		*	การซื้อและขายหลักทรัพย์ของบุคคลเดียวกัน เช่น ซื้อหุ้นที่ตนเองเป็นผู้เสนอขาย
		*	การซื้อขายโดยสมรู้ร่วมคิดกัน เช่น การซื้อขายไปมาหลายๆ รอบ ระหว่าง นาย A และ 
		*	นาย B เพื่อสร้างปริมาณซื้อขาย
		*	การซื้อขายต่อเนื่อง (Series of Transaction) เช่น การขายที่ต่อเนื่องจนทำให้ราคาลงแรง ทำให้ผู้ลงทุนตกใจและขายหุ้นออกมา จากนั้นตนเองก็เข้าซื้อหุ้นในระดับราคาที่ต่ำ
		*	การซื้อหรือขายเพื่อไม่ให้ผู้อื่นส่งมอบหลักทรัพย์ได้ตามหน้าที่ เช่น นาย A เห็นว่านาย C 
		*	ได้ขายหุ้น PPP ล่วงหน้า (Short Sale) ไว้ โดยมีสัญญาจะซื้อคืนในอีก 3 เดือน นาย A จึงเข้าไปซื้อหุ้น PPP ทั้งหมดจนทำให้นายซื้อไม่สามารถซื้อหุ้น PPP มาคืนได้ตามสัญญา
		*	การซื้อ Warrant แต่ขายหุ้นอ้างอิง หรือ การขาย Warrant แต่ซื้อหุ้นอ้างอิง ในวันเดียวกัน
		*	ซื้อหรือขายหลักทรัพย์ ที่ตนเองหรือผู้สมรู้ร่วมคิดปล่อยข่าวลือบางอย่าง โดยที่ข่าวนั้นยังไม่ได้แจ้งตลาดหลักทรัพย์ฯ",2703,3572
1345195.txt,มูลค่าตลาด คืออะไร,มูลค่าปัจจุบันของบริษัททั้งบริษัท ซึ่ง = ราคาหุ้น x จำนวนหุ้น),3184,3245
1345160.txt,เครื่องมือการลงทุนที่เข้ามาทดแทนกองทุนรวมอสังหาริมทรัพย์ที่ไม่สามารถจัดตั้ง และเพิ่มทุนได้อีก คืออะไร,กองทรัสต์,8990,8998
1345136.txt,SP หมายถึงอะไร,หยุดการซื้อขายชั่วคราวเกิน 1 รอบการซื้อขายของตลาด,2386,2434
1345183.txt,9.30 – 10.00 น. มีรายละเอียดอย่างไร,Pre-opening I (ก่อนเปิดตลาดเช้า) ระบบคำนวณราคาเปิดของหลักทรัพย์ช่วงเช้า จากคำสั่งซื้อขายของนักลงทุน โดยตลาดจะสุ่มเวลาในการเปิดตลาด (Random) ในช่วง 9.55 – 10.00 น.,136,297
1345185.txt,SP คืออะไร,หยุดการซื้อขายชั่วคราวเกิน 1 รอบการซื้อขายของตลาด,1881,1929
1345148.txt,ผู้ลงทุนสามารถตัดสินใจถือ/อยู่เฉยๆเมื่อใด,เมื่อราคาตลาด (Market Price) = มูลค่าที่แท้จริง (Intrinsic Value),607,671
1345160.txt,กองทุนรวมที่ไม่มีความเสี่ยงต่างประเทศ คืออะไร,กองทุนรวมที่ลงทุนในประเทศเท่านั้น,3237,3269
1345136.txt,ช่องทางการส่งคำสั่งซื้อขาย แบ่งตามประเภทผู้ซื้อ มีอะไรบ้าง,"1)	ช่องทางสำหรับรายย่อย ส่งคำสั่งซื้อขายผ่านบริษัทหลักทรัพย์ (Broker)
		2)	ช่องทางสำหรับผู้ลงทุนสถาบัน ส่งคำสั่งซื้อขายผ่านระบบ Fixed Income and Related Securities Trading System (FIRSTs)",1009,1195
1345160.txt,กองทุนรวมโครงสร้างพื้นฐาน (Infrastructure Fund) คืออะไร,กองทุนรวมที่นำเงินไปลงทุนในโครงสร้างพื้นฐาน ทั้งโครงการของภาครัฐและภาคเอกชน,10666,10740
